Miasto;Powiat;Województwo;Populacja;Obszar;Status;Szansa;IleNiepustych;979
Warszawa;powiat Warszawa;mazowieckie;1795569;517,20;-1;100;;
Kraków;powiat Kraków;małopolskie;782137;326,90;-1;100;;
Łódź;powiat Łódź;łódzkie;664071;293,30;-1;100;;
Wrocław;powiat Wrocław;dolnośląskie;642687;292,80;-1;100;;
Poznań;powiat Poznań;wielkopolskie;529410;261,90;-1;100;;
Gdańsk;powiat Gdańsk;pomorskie;470621;262,00;-1;100;;
Szczecin;powiat Szczecin;zachodniopomorskie;395513;300,60;-1;100;;
Bydgoszcz;powiat Bydgoszcz;kujawsko-pomorskie;339053;176,00;-1;100;;
Lublin;powiat Lublin;lubelskie;336339;147,50;-1;100;;
Białystok;powiat Białystok;podlaskie;295683;102,10;-1;100;;
Katowice;powiat Katowice;śląskie;286960;164,60;-1;100;;
Gdynia;powiat Gdynia;pomorskie;243918;135,10;0;10;;
Częstochowa;powiat Częstochowa;śląskie;214342;159,70;0;10;;
Radom;powiat Radom;mazowieckie;206946;111,80;0;10;;
Rzeszów;powiat Rzeszów;podkarpackie;198609;129,00;-1;100;;
Toruń;powiat Toruń;kujawsko-pomorskie;196935;115,70;0;10;;
Sosnowiec;powiat Sosnowiec;śląskie;194818;91,10;0;10;;
Kielce;powiat Kielce;świętokrzyskie;191448;109,70;-1;100;;
Gliwice;powiat Gliwice;śląskie;175102;133,90;0;10;;
Olsztyn;powiat Olsztyn;warmińsko-mazurskie;169793;88,30;-1;100;;
Zabrze;powiat Zabrze;śląskie;168946;80,40;0;10;;
Bielsko-Biała;powiat Bielsko-Biała;śląskie;168319;124,50;0;10;;
Bytom;powiat Bytom;śląskie;161139;69,40;0;10;;
Zielona Góra;powiat Zielona Góra;lubuskie;140403;278,30;-1;100;;
Rybnik;powiat Rybnik;śląskie;135994;148,40;0;10;;
Ruda Śląska;powiat Ruda Śląska;śląskie;135008;77,70;0;10;;
Opole;powiat Opole;opolskie;127077;148,90;-1;100;;
Tychy;powiat Tychy;śląskie;125781;81,80;0;10;;
Gorzów Wielkopolski;powiat Gorzów Wielkopolski;lubuskie;120087;85,70;0;10;;
Elbląg;powiat Elbląg;warmińsko-mazurskie;117390;79,80;0;10;;
Dąbrowa Górnicza;powiat Dąbrowa Górnicza;śląskie;116971;188,70;0;10;;
Płock;powiat Płock;mazowieckie;116962;88,00;0;10;;
Wałbrzych;powiat Wałbrzych;dolnośląskie;108222;84,70;0;10;;
Włocławek;powiat Włocławek;kujawsko-pomorskie;106928;85,10;0;10;;
Tarnów;powiat Tarnów;małopolskie;105922;72,40;0;10;;
Chorzów;powiat Chorzów;śląskie;105628;33,20;0;10;;
Koszalin;powiat Koszalin;zachodniopomorskie;104994;98,30;0;10;;
Kalisz;powiat Kalisz;wielkopolskie;97905;69,40;0;10;;
Legnica;powiat Legnica;dolnośląskie;97300;56,30;0;10;;
Grudziądz;powiat Grudziądz;kujawsko-pomorskie;92552;57,80;0;10;;
Jaworzno;powiat Jaworzno;śląskie;89350;152,60;0;10;;
Słupsk;powiat Słupsk;pomorskie;88835;43,20;0;10;;
Jastrzębie-Zdrój;powiat Jastrzębie-Zdrój;śląskie;86632;85,30;0;10;;
Nowy Sącz;powiat Nowy Sącz;małopolskie;83116;57,60;0;10;;
Jelenia Góra;powiat Jelenia Góra;dolnośląskie;77366;109,20;0;10;;
Siedlce;powiat Siedlce;mazowieckie;77354;31,90;0;10;;
Mysłowice;powiat Mysłowice;śląskie;74085;65,60;0;10;;
Piła;powiat pilski;wielkopolskie;71846;102,70;0;10;;
Konin;powiat Konin;wielkopolskie;71427;82,30;0;10;;
Piotrków Trybunalski;powiat Piotrków Trybunalski;łódzkie;71252;67,20;0;10;;
Ostrów Wielkopolski;powiat ostrowski;wielkopolskie;70982;41,90;0;10;;
Lubin;powiat lubiński;dolnośląskie;70815;40,80;0;10;;
Inowrocław;powiat inowrocławski;kujawsko-pomorskie;70713;30,40;0;10;;
Suwałki;powiat Suwałki;podlaskie;69206;65,50;0;10;;
Stargard;powiat stargardzki;zachodniopomorskie;67293;48,10;0;10;;
Gniezno;powiat gnieźnieński;wielkopolskie;66769;40,60;0;10;;
Ostrowiec Świętokrzyski;powiat ostrowiecki;świętokrzyskie;66258;46,40;0;10;;
Siemianowice Śląskie;powiat Siemianowice Śląskie;śląskie;65684;25,50;0;10;;
Głogów;powiat głogowski;dolnośląskie;65400;35,10;0;10;;
Pabianice;powiat pabianicki;łódzkie;63023;33,00;0;10;;
Żory;powiat Żory;śląskie;62848;64,60;0;10;;
Pruszków;powiat pruszkowski;mazowieckie;62750;19,20;0;10;;
Leszno;powiat Leszno;wielkopolskie;62200;31,90;0;10;;
Zamość;powiat Zamość;lubelskie;62021;30,30;0;10;;
Łomża;powiat Łomża;podlaskie;62019;32,70;0;10;;
Tarnowskie Góry;powiat tarnogórski;śląskie;61842;83,90;0;10;;
Ełk;powiat ełcki;warmińsko-mazurskie;61677;21,10;0;10;;
Tomaszów Mazowiecki;powiat tomaszowski;łódzkie;60529;41,30;0;10;;
Chełm;powiat Chełm;lubelskie;60231;35,30;0;10;;
Mielec;powiat mielecki;podkarpackie;59509;46,90;0;10;;
Tczew;powiat tczewski;pomorskie;59111;22,40;0;10;;
Kędzierzyn-Koźle;powiat kędzierzyńsko-kozielski;opolskie;58899;123,70;0;10;;
Przemyśl;powiat Przemyśl;podkarpackie;58721;46,20;0;10;;
Stalowa Wola;powiat stalowowolski;podkarpackie;58545;82,50;0;10;;
Biała Podlaska;powiat Biała Podlaska;lubelskie;56498;49,40;0;10;;
Bełchatów;powiat bełchatowski;łódzkie;55583;34,60;0;10;;
Świdnica;powiat świdnicki;dolnośląskie;55413;21,80;0;10;;
Będzin;powiat będziński;śląskie;55183;37,40;0;10;;
Zgierz;powiat zgierski;łódzkie;54974;42,30;0;10;;
Piekary Śląskie;powiat Piekary Śląskie;śląskie;54226;40,00;0;10;;
Racibórz;powiat raciborski;śląskie;53632;75,00;0;10;;
Legionowo;powiat legionowski;mazowieckie;53205;13,50;0;10;;
Ostrołęka;powiat Ostrołęka;mazowieckie;51012;33,50;0;10;;
Rumia;powiat wejherowski;pomorskie;49936;30,10;0;5;;
Piaseczno;powiat piaseczyński;mazowieckie;48688;16,20;0;5;;
Świętochłowice;powiat Świętochłowice;śląskie;48577;13,30;0;5;;
Wejherowo;powiat wejherowski;pomorskie;48462;27,00;0;5;;
Zawiercie;powiat zawierciański;śląskie;48108;85,30;0;5;;
Wodzisław Śląski;powiat wodzisławski;śląskie;47073;49,50;0;5;;
Skierniewice;powiat Skierniewice;łódzkie;47031;34,60;0;5;;
Starachowice;powiat starachowicki;świętokrzyskie;46879;31,80;0;5;;
Starogard Gdański;powiat starogardzki;pomorskie;46768;25,30;0;5;;
Puławy;powiat puławski;lubelskie;46304;50,50;0;5;;
Tarnobrzeg;powiat Tarnobrzeg;podkarpackie;45827;85,40;0;5;;
Kołobrzeg;powiat kołobrzeski;zachodniopomorskie;45713;25,70;0;5;;
Krosno;powiat Krosno;podkarpackie;45463;44,70;0;5;;
Radomsko;powiat radomszczański;łódzkie;44700;51,40;0;5;;
Dębica;powiat dębicki;podkarpackie;44692;33,80;0;5;;
Otwock;powiat otwocki;mazowieckie;44078;47,30;0;5;;
Ciechanów;powiat ciechanowski;mazowieckie;43495;32,80;0;5;;
Skarżysko-Kamienna;powiat skarżyski;świętokrzyskie;43422;64,40;0;5;;
Nysa;powiat nyski;opolskie;42740;27,50;0;5;;
Kutno;powiat kutnowski;łódzkie;42704;33,60;0;5;;
Mikołów;powiat mikołowski;śląskie;41047;79,20;0;5;;
Sieradz;powiat sieradzki;łódzkie;40891;51,20;0;5;;
Mińsk Mazowiecki;powiat miński;mazowieckie;40754;13,20;0;5;;
Zduńska Wola;powiat zduńskowolski;łódzkie;40730;24,60;0;5;;
Świnoujście;powiat Świnoujście;zachodniopomorskie;40467;202,10;0;5;;
Szczecinek;powiat szczecinecki;zachodniopomorskie;39474;48,50;0;5;;
Chojnice;powiat chojnicki;pomorskie;39423;21,00;0;5;;
Ząbki;powiat wołomiński;mazowieckie;39420;11,00;0;5;;
Żyrardów;powiat żyrardowski;mazowieckie;39138;14,40;0;5;;
Bolesławiec;powiat bolesławiecki;dolnośląskie;38346;23,60;0;5;;
Świdnik;powiat świdnicki;lubelskie;38174;20,40;0;5;;
Marki;powiat wołomiński;mazowieckie;38061;26,20;0;5;;
Kwidzyn;powiat kwidzyński;pomorskie;37975;21,50;0;5;;
Nowa Sól;powiat nowosolski;lubuskie;37791;21,80;0;5;;
Malbork;powiat malborski;pomorskie;37693;17,20;0;5;;
Knurów;powiat gliwicki;śląskie;37502;34,00;0;5;;
