łlp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;3278
1;Achrymowce;Kuźnica;powiat sokólski;51;;;;
2;Adamowizna;Szypliszki;powiat suwalski;61;;;;
3;Adamowo-Zastawa;Mielnik;powiat siemiatycki;86;;;;
4;Adamusy;Turośl;powiat kolneński;42;;;;
5;Agrafinówka;Filipów;powiat suwalski;45;;;;
6;Aleksandrowo;Grodzisk;powiat siemiatycki;91;;;;
7;Aleksandrowo;Bakałarzewo;powiat suwalski;77;;;;
8;Aleksandrowo;Krasnopol;powiat sejneński;93;;;;
9;Aleksandrówka;Szypliszki;powiat suwalski;15;;;;
10;Aleksicze;Zabłudów;powiat białostocki;33;;;;
11;Aleksiejówka;Giby;powiat sejneński;25;;;;
12;Ancuty;Narew;powiat hajnowski;51;;;;
13;Andrychy;Grabowo;powiat kolneński;69;;;;
14;Andryjanki;Boćki;powiat bielski;299;;;;
15;Andrzejewo;Szypliszki;powiat suwalski;47;;;;
16;Andrzejki;Łomża;powiat łomżyński;62;;;;
17;Antonin;Ciechanowiec;powiat wysokomazowiecki;107;;;;
18;Antosin;Wiżajny;powiat suwalski;37;;;;
19;Anusin;Siemiatycze;powiat siemiatycki;246;;;;
20;Arbasy;Drohiczyn;powiat siemiatycki;165;;;;
21;Ateny;Nowinka;powiat augustowski;103;;;;
22;Augustowo;Bielsk Podlaski;powiat bielski;582;;;;
23;Augustynka;Nurzec-Stacja;powiat siemiatycki;169;;;;
24;Aulakowszczyzna;Korycin;powiat sokólski;95;;;;
25;Babańce;Sejny;powiat sejneński;71;;;;
26;Babiki;Szudziałowo;powiat sokólski;86;;;;
27;Babino;Choroszcz;powiat białostocki;85;;;;
28;Bachanowo;Jeleniewo;powiat suwalski;65;;;;
29;Bachmatówka;Sokółka;powiat sokólski;53;;;;
30;Bachury;Michałowo;powiat białostocki;45;;;;
31;Baciki Bliższe;Siemiatycze;powiat siemiatycki;314;;;;
32;Baciki Dalsze;Siemiatycze;powiat siemiatycki;138;;;;
33;Baciki Średnie;Siemiatycze;powiat siemiatycki;217;;;;
34;Baciuty;Turośń Kościelna;powiat białostocki;366;;;;
35;Bacze Mokre;Zambrów;powiat zambrowski;122;;;;
36;Bacze Suche;Łomża;powiat łomżyński;121;;;;
37;Bagienice;Przytuły;powiat łomżyński;77;;;;
38;Bagienice;Wąsosz;powiat grajewski;127;;;;
39;Bagienki;Tykocin;powiat białostocki;33;;;;
40;Bagińskie;Grabowo;powiat kolneński;98;;;;
41;Bagniuki;Michałowo;powiat białostocki;19;;;;
42;Bagno;Jaświły;powiat moniecki;213;;;;
43;Bagny;Dąbrowa Białostocka;powiat sokólski;179;;;;
44;Bajki-Zalesie;Krypno;powiat moniecki;253;;;;
45;Bakałarzewo;Bakałarzewo;powiat suwalski;861;;;;
46;Bakaniuk;Raczki;powiat suwalski;204;;;;
47;Baliki;Nowogród;powiat łomżyński;1;;;;
48;Balinka;Sztabin;powiat augustowski;62;;;;
49;Bańki;Bielsk Podlaski;powiat bielski;77;;;;
50;Baranki;Juchnowiec Kościelny;powiat białostocki;88;;;;
51;Baranowo;Rutka-Tartak;powiat suwalski;87;;;;
52;Bargłów Dworny;Bargłów Kościelny;powiat augustowski;377;;;;
53;Bargłów Kościelny;Bargłów Kościelny;powiat augustowski;755;;;;
54;Bargłówka;Bargłów Kościelny;powiat augustowski;158;;;;
55;Barszcze;Bargłów Kościelny;powiat augustowski;78;;;;
56;Barszczewo;Choroszcz;powiat białostocki;554;;;;
57;Barszczewo;Michałowo;powiat białostocki;41;;;;
58;Barszczowa Góra;Nowinka;powiat augustowski;84;;;;
59;Barszczówka;Turośń Kościelna;powiat białostocki;152;;;;
60;Bartki;Jedwabne;powiat łomżyński;41;;;;
61;Bartnia Góra;Filipów;powiat suwalski;23;;;;
62;Bartniki;Lipsk;powiat augustowski;164;;;;
63;Barwiki;Radziłów;powiat grajewski;69;;;;
64;Barzykowo;Stawiski;powiat kolneński;141;;;;
65;Becejły;Szypliszki;powiat suwalski;143;;;;
66;Bełda;Rajgród;powiat grajewski;234;;;;
67;Berezyszcze;Czeremcha;powiat hajnowski;35;;;;
