lp;Wieś;Gmina;Powiat;Populacja;Status;P;IleNiepustych;2272
1;Adamczowice;Klimontów;powiat sandomierski;210;;;;
2;Adamek;Stąporków;powiat konecki;187;;;;
3;Adamów;Brody;powiat starachowicki;948;;;;
4;Adamów;Smyków;powiat konecki;233;;;;
5;Adamów;Lipnik;powiat opatowski;48;;;;
6;Adamów;Opatów;powiat opatowski;126;;;;
7;Akwizgran;Strawczyn;powiat kielecki;1;;;;
8;Aleksandrów;Pińczów;powiat pińczowski;85;;;;
9;Aleksandrów;Sędziszów;powiat jędrzejowski;57;;;;
10;Ambrożów;Pawłów;powiat starachowicki;463;;;;
11;Andruszkowice;Samborzec;powiat sandomierski;323;;;;
12;Antonielów;Łopuszno;powiat kielecki;203;;;;
13;Antoniów;Bałtów;powiat ostrowiecki;111;;;;
14;Baczyna;Końskie;powiat konecki;120;;;;
15;Baćkowice;Baćkowice;powiat opatowski;574;;;;
16;Badrzychowice;Nowy Korczyn;powiat buski;268;;;;
17;Balbinów;Opatów;powiat opatowski;98;;;;
18;Balice;Gnojno;powiat buski;357;;;;
19;Bałków;Radków;powiat włoszczowski;212;;;;
20;Bałtów;Bałtów;powiat ostrowiecki;624;;;;
21;Bania;Słupia (Konecka);powiat konecki;1;;;;
22;Baran;Mniów;powiat kielecki;96;;;;
23;Baranów;Busko-Zdrój;powiat buski;152;;;;
24;Baranów;Skalbmierz;powiat kazimierski;271;;;;
25;Baranówek;Baćkowice;powiat opatowski;150;;;;
26;Barcza;Masłów;powiat kielecki;327;;;;
27;Bardo;Raków;powiat kielecki;335;;;;
28;Bartków;Zagnańsk;powiat kielecki;569;;;;
29;Bartoszowiny;Nowa Słupia;powiat kielecki;241;;;;
30;Barycz;Końskie;powiat konecki;307;;;;
31;Barycz;Łopuszno;powiat kielecki;1;;;;
32;Baszowice;Nowa Słupia;powiat kielecki;355;;;;
33;Bazów;Łoniów;powiat sandomierski;161;;;;
34;Bebelno-Kolonia;Włoszczowa;powiat włoszczowski;399;;;;
35;Bebelno;Włoszczowa;powiat włoszczowski;393;;;;
36;Bedlenko;Końskie;powiat konecki;352;;;;
37;Bedlno;Końskie;powiat konecki;297;;;;
38;Bejsce;Bejsce;powiat kazimierski;728;;;;
39;Belno;Bieliny;powiat kielecki;484;;;;
40;Belno;Zagnańsk;powiat kielecki;554;;;;
41;Bełk;Imielno;powiat jędrzejowski;253;;;;
42;Bełzów;Skalbmierz;powiat kazimierski;148;;;;
43;Beradz;Klimontów;powiat sandomierski;88;;;;
44;Bernów;Gowarczów;powiat konecki;133;;;;
45;Beszowa;Łubnice;powiat staszowski;238;;;;
46;Beszyce Górne;Koprzywnica;powiat sandomierski;226;;;;
47;Bębnów;Gowarczów;powiat konecki;466;;;;
48;Bęczków;Górno;powiat kielecki;1617;;;;
49;Będziaki;Czarnocin;powiat kazimierski;182;;;;
50;Białoborze;Stopnica;powiat buski;308;;;;
51;Białowieża;Sędziszów;powiat jędrzejowski;122;;;;
52;Biały Ług;Słupia (Konecka);powiat konecki;28;;;;
53;Bichniów;Secemin;powiat włoszczowski;221;;;;
54;Bidziny;Wojciechowice;powiat opatowski;688;;;;
55;Biechów;Kunów;powiat ostrowiecki;57;;;;
